# FlashTeX canonical LaTeX list: the coverage denominator for `flashtex-compiler --supported`.
# GENERATED by crates/compiler/scripts/canonical_latex.py; do not edit by hand.
# Method: candidates from the sources below, each confirmed defined by a pdfLaTeX run
# (\documentclass{article}); a package set excludes names defined without it (article plus
# the package's own dependencies); names with @ _ : are excluded; tikz excludes pgf*.
# Engine: TeX 3.141592653 (TeX Live 2026)
# Source kernel: doc/latex/latex2e-help-texinfo/latex2e.texi (UPDATED May 2024) @findex commands and @EnvIndex environments; confirmed with LaTeX2e 2025-11-01 patch level 0, article class
# Source amsmath: tokens of amsmath.sty, amstext.sty, amsbsy.sty, amsopn.sty (amsmath.sty 2025/07/09 v2.17z AMS math features; amstext.sty 2024/11/17 v2.01 AMS text; amsbsy.sty 1999/11/29 v1.2d Bold Symbols; amsopn.sty 2022/04/08 v2.04 operator names); dependency baseline: amsgen
# Source amssymb: tokens of amssymb.sty, amsfonts.sty (amssymb.sty 2013/01/14 v3.01 AMS font symbols; amsfonts.sty 2013/01/14 v3.01 Basic AMSFonts support); dependency baseline: none
# Source enumitem: tokens of enumitem.sty (enumitem.sty 2025/02/06 v3.11 Customized lists); dependency baseline: none
# Source geometry: tokens of geometry.sty (geometry.sty 2026/03/07 v6.0 Page Geometry); dependency baseline: keyval, ifvtex, iftex
# Source graphicx: tokens of graphicx.sty, graphics.sty (graphicx.sty 2024/12/31 v1.2e Enhanced LaTeX Graphics (DPC,SPQR); graphics.sty 2024/08/06 v1.4g Standard LaTeX Graphics (DPC,SPQR)); dependency baseline: keyval, trig
# Source hyperref: tokens of hyperref.sty, nameref.sty (hyperref.sty 2026-01-29 v7.01p Hypertext links for LaTeX; nameref.sty 2026-01-29 v2.58 Cross-referencing by name of section); dependency baseline: iftex, keyval, kvsetkeys, kvdefinekeys, pdfescape, ltxcmds, pdftexcmds, infwarerr, hycolor, refcount, gettitlestring, kvoptions, etoolbox, stringenc, intcalc, url, bitset, bigintcalc, rerunfilecheck, uniquecounter
# Source tikz: tokens of tikz.sty, tikz.code.tex (tikz.sty 2025-08-29 v3.1.11a (3.1.11a); pgf 3.1.11a); dependency baseline: pgf, pgfrcs, pgfcore, graphicx, keyval, graphics, trig, pgfsys, xcolor, pgfcomp-version-0-65, pgfcomp-version-1-18, pgffor, pgfkeys, pgfmath
# Source xcolor: tokens of xcolor.sty (xcolor.sty 2024/09/29 v3.02 LaTeX color extensions (UK)); dependency baseline: none
# Source siunitx: tokens of siunitx.sty (siunitx.sty 2025-07-09 v3.4.14 A comprehensive (SI) units package); dependency baseline: translations, etoolbox, pdftexcmds, infwarerr, iftex, ltxcmds, amstext, amsgen, array
# set	kind	name
kernel	command	footnotetext
kernel	command	footskip
kernel	command	frac
kernel	command	frame
kernel	command	framebox
kernel	command	frenchspacing
kernel	command	fussy
kernel	command	headheight
kernel	command	headsep
kernel	command	hfill
kernel	command	hline
kernel	command	hphantom
kernel	command	hrulefill
kernel	command	hsize
kernel	command	hspace
kernel	command	hss
kernel	command	huge
kernel	command	hyphenation
kernel	command	i
kernel	command	ignorespaces
kernel	command	ignorespacesafterend
kernel	command	ij
kernel	command	include
kernel	command	includeonly
kernel	command	indent
kernel	command	index
kernel	command	indexspace
kernel	command	intextsep
kernel	command	item
kernel	command	itshape
kernel	command	j
kernel	command	jobname
kernel	command	k
kernel	command	l
kernel	command	label
kernel	command	labelenumi
kernel	command	labelenumii
kernel	command	labelenumiii
kernel	command	labelenumiv
kernel	command	labelitemi
kernel	command	labelitemii
kernel	command	labelitemiii
kernel	command	labelitemiv
kernel	command	large
kernel	command	left
kernel	command	lefteqn
kernel	command	leftmargin
kernel	command	leftmargini
kernel	command	leftmarginii
kernel	command	leftmarginiii
kernel	command	leftmarginiv
kernel	command	leftmarginv
kernel	command	leftmarginvi
kernel	command	linebreak
kernel	command	lineskip
kernel	command	lineskiplimit
kernel	command	linespread
kernel	command	linethickness
kernel	command	linewidth
kernel	command	listoffigures
kernel	command	listoftables
kernel	command	long
kernel	command	makeatother
kernel	command	makebox
kernel	command	makeglossary
kernel	command	makeindex
kernel	command	makelabel
kernel	command	maketitle
kernel	command	marginpar
kernel	command	marginparpush
kernel	command	marginparwidth
kernel	command	mathbf
kernel	command	mathcal
kernel	command	mathnormal
kernel	command	mathrm
kernel	command	mathsf
kernel	command	mathtt
kernel	command	mathversion
kernel	command	mbox
kernel	command	mdseries
kernel	command	medbreak
kernel	command	medskip
kernel	command	medskipamount
kernel	command	medspace
kernel	command	message
kernel	command	month
kernel	command	multicolumn
kernel	command	multiput
kernel	command	negmedspace
kernel	command	negthickspace
kernel	command	negthinspace
kernel	command	newcommand
kernel	command	newcounter
kernel	command	newenvironment
kernel	command	newfont
kernel	command	newlength
kernel	command	newline
kernel	command	newpage
kernel	command	newsavebox
kernel	command	newtheorem
kernel	command	newtie
kernel	command	newwrite
kernel	command	ng
kernel	command	nobreakspace
kernel	command	nocite
kernel	command	nocorrlist
kernel	command	nofiles
kernel	command	noindent
kernel	command	nolinebreak
kernel	command	nonfrenchspacing
kernel	command	nonumber
kernel	command	nopagebreak
kernel	command	normalfont
kernel	command	normalmarginpar
kernel	command	normalsfcodes
kernel	command	normalsize
kernel	command	numberline
kernel	command	o
kernel	command	obeycr
kernel	command	oddsidemargin
kernel	command	oe
kernel	command	oldstylenums
